,BANK_ID,REPORT_DATE,DT_REPORT,STATEMENT_TYPE,CATEGORY_TYPE,CATEGORY_CODE,ORIGINAL_CATEGORY,PREVIOUS_VALUE,CURRENT_VALUE,CURR_ID,FILE_NAME,DATA_SOURCE,EXTRACTION_DATE
633,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,28,Pasuritë e paprekshme,760,749,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
634,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,29,Pasuritë tatimore të shtyra,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
635,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,30,Pasuritë tjera,241,1,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
636,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,31,Gjithsej pasuritë,11,11,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
637,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,32,Depozitat e klientëve,1,2,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
638,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,33,Detyrimet ndaj bankave,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
639,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,34,Fondet tjera të huazuara,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
640,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,35,Detyrimet tatimore të shtyra,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
641,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,36,Detyrimet tjera,17,45,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
642,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,37,Gjithsej detyrimet,1,2,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
643,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,38,Kapitali aksionar,10,10,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
644,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,40,Rezervat e kapitalit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
645,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,41,Fitimi i mbajtur/(humbja) nga vitet paraprake,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
646,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,42,Fitimi/(humbja) e vitit aktual,414,677,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
647,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,43,Përbërësit tjerë të ekuitetit,0,0,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
648,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,44,Gjithsej ekuiteti i aksionarëve,10,9,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
649,9,2015-06-30,2015-06-30,BALANCE_SHEET,BALANCE,45,Gjithsej detyrimet dhe ekuiteti i aksionarëve,11,11,1,zba_bs_31.12.2015.pdf,Ziraat Bank,2026-03-18
503,9,2015-06-30,2015-06-30,INCOME_STATEMENT,INCOME,10,Gjithsej të hyrat,0,404,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-18
504,9,2015-06-30,2015-06-30,INCOME_STATEMENT,INCOME,14,Fitimi/(humbja) para tatimit,0,414,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-18
505,9,2015-06-30,2015-06-30,INCOME_STATEMENT,INCOME,16,Fitimi/(humbja) neto,0,414,1,zba_is_31.12.2015.pdf,Ziraat Bank,2026-03-18
718,9,2016-03-31,2016-03-31,BALANCE_SHEET,BALANCE,20,Paraja e gatshme dhe gjendja me BQK-në,6,4,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-18
719,9,2016-03-31,2016-03-31,BALANCE_SHEET,BALANCE,21,Kërkesat ndaj bankave,46,617,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-18
720,9,2016-03-31,2016-03-31,BALANCE_SHEET,BALANCE,22,Bonot e thesarit,0,0,1,zba_bs_31.12.2016.pdf,Ziraat Bank,2026-03-18
